               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,              0.0222,           0.0078173,           0.0016635,             0.99236,             0.99115,             0.99268,             0.76373,            0.012661,           0.0027847,          0.00016202,            0.006634,            0.006634,            0.006634
                  36,            0.021965,           0.0077047,           0.0014795,             0.99206,             0.99076,             0.99267,             0.76357,            0.012648,           0.0027819,          0.00016373,            0.006535,            0.006535,            0.006535
                  37,            0.021935,           0.0077406,            0.001468,             0.99138,             0.99167,             0.99268,             0.76513,            0.012629,           0.0027779,          0.00016642,            0.006436,            0.006436,            0.006436
                  38,            0.021778,           0.0076473,           0.0014028,             0.99126,             0.99127,             0.99265,             0.76596,            0.012611,           0.0027747,          0.00016871,            0.006337,            0.006337,            0.006337
                  39,            0.021854,           0.0076807,           0.0015264,             0.99202,             0.99116,             0.99382,             0.76652,            0.012599,           0.0027723,          0.00017108,            0.006238,            0.006238,            0.006238
                  40,            0.021681,           0.0076391,           0.0015062,             0.99202,             0.99111,             0.99381,             0.76662,            0.012586,           0.0027703,          0.00017031,            0.006139,            0.006139,            0.006139
                  41,            0.021468,           0.0075314,           0.0012948,              0.9921,             0.99117,             0.99382,             0.76715,            0.012574,            0.002768,          0.00016766,             0.00604,             0.00604,             0.00604
                  42,            0.021344,           0.0075647,            0.001338,             0.99241,             0.99129,             0.99354,             0.76762,            0.012556,            0.002765,          0.00016562,            0.005941,            0.005941,            0.005941
                  43,            0.021294,           0.0075536,           0.0013361,             0.99241,             0.99129,             0.99354,             0.76757,            0.012537,           0.0027613,          0.00016509,            0.005842,            0.005842,            0.005842
                  44,            0.021216,           0.0074726,           0.0012732,             0.99242,             0.99157,             0.99352,             0.76808,             0.01252,            0.002758,          0.00016367,            0.005743,            0.005743,            0.005743
                  45,            0.021131,           0.0075157,           0.0011957,             0.99244,             0.99155,             0.99345,             0.76824,            0.012503,           0.0027544,          0.00016268,            0.005644,            0.005644,            0.005644
                  46,            0.020945,           0.0074629,           0.0012228,             0.99277,             0.99194,             0.99343,             0.76863,            0.012486,             0.00275,            0.000163,            0.005545,            0.005545,            0.005545
                  47,            0.020885,           0.0073599,           0.0012363,             0.99242,             0.99127,              0.9934,             0.76863,            0.012467,           0.0027446,          0.00016222,            0.005446,            0.005446,            0.005446
                  48,            0.020869,           0.0073744,            0.001137,             0.98931,             0.99359,              0.9934,             0.76914,            0.012448,           0.0027397,          0.00016186,            0.005347,            0.005347,            0.005347
                  49,             0.02088,           0.0074036,           0.0012606,             0.99124,             0.99167,             0.99341,             0.76944,            0.012426,           0.0027349,          0.00016212,            0.005248,            0.005248,            0.005248
                  50,            0.020764,            0.007343,           0.0012472,              0.9913,             0.99173,             0.99344,             0.76908,            0.012402,           0.0027306,          0.00016246,            0.005149,            0.005149,            0.005149
                  51,            0.020746,           0.0073592,           0.0011708,              0.9913,             0.99222,             0.99343,             0.76917,            0.012379,           0.0027263,          0.00016063,             0.00505,             0.00505,             0.00505
                  52,            0.020612,           0.0073343,            0.001214,             0.99124,             0.99214,             0.99346,             0.77011,            0.012355,           0.0027221,          0.00015816,            0.004951,            0.004951,            0.004951
                  53,            0.020464,           0.0072824,           0.0011009,             0.99157,             0.99213,             0.99342,             0.77031,            0.012333,           0.0027178,          0.00015665,            0.004852,            0.004852,            0.004852
                  54,              0.0203,            0.007228,           0.0010673,             0.99122,             0.99207,              0.9934,              0.7701,            0.012307,           0.0027132,          0.00015435,            0.004753,            0.004753,            0.004753
                  55,            0.020321,           0.0072024,            0.001001,             0.98992,             0.99355,             0.99342,             0.77138,            0.012283,           0.0027088,          0.00015029,            0.004654,            0.004654,            0.004654
                  56,            0.020256,           0.0072477,           0.0010737,             0.99011,             0.99356,             0.99345,             0.77156,            0.012258,           0.0027044,          0.00014797,            0.004555,            0.004555,            0.004555
                  57,            0.020146,           0.0071309,           0.0010636,             0.99006,             0.99366,             0.99385,             0.77252,            0.012231,            0.002699,          0.00014588,            0.004456,            0.004456,            0.004456
                  58,            0.020074,             0.00713,           0.0011501,             0.99006,             0.99448,             0.99386,             0.77331,            0.012204,           0.0026936,          0.00014477,            0.004357,            0.004357,            0.004357
                  59,            0.019993,           0.0071264,           0.0010993,             0.98987,             0.99448,             0.99386,             0.77452,            0.012177,           0.0026884,          0.00014298,            0.004258,            0.004258,            0.004258
                  60,            0.019847,           0.0071642,           0.0010134,             0.99008,             0.99413,             0.99387,              0.7748,            0.012152,           0.0026831,          0.00014108,            0.004159,            0.004159,            0.004159
                  61,            0.019846,           0.0071476,           0.0010268,             0.99009,             0.99402,             0.99387,              0.7756,            0.012126,           0.0026773,          0.00014046,             0.00406,             0.00406,             0.00406
                  62,            0.019668,           0.0069857,          0.00089713,             0.99065,             0.99402,             0.99324,             0.77568,            0.012099,           0.0026711,          0.00013941,            0.003961,            0.003961,            0.003961
                  63,            0.019473,           0.0069992,          0.00082107,             0.99192,             0.99224,             0.99324,             0.77676,             0.01207,           0.0026649,          0.00013838,            0.003862,            0.003862,            0.003862
